utc_timestamp,country,source,power_output_mw,capacity_mw,capacity_factor_pct
2019-06-01 05:30:00,DE,Solar,0.0,49497.0,0.0
2019-06-01 06:30:00,DE,Solar,0.0,49497.0,0.0
2019-06-01 07:30:00,DE,Solar,2.0,49497.0,0.0
2019-06-01 08:30:00,DE,Solar,250.0,49497.0,0.51
2019-06-01 09:30:00,DE,Solar,2006.0,49497.0,4.05
2019-06-01 10:30:00,DE,Solar,6115.0,49497.0,12.35
2019-06-01 11:30:00,DE,Solar,12022.0,49497.0,24.29
2019-06-01 12:30:00,DE,Solar,18240.0,49497.0,36.85
2019-06-01 13:30:00,DE,Solar,23245.0,49497.0,46.96
2019-06-01 14:30:00,DE,Solar,25998.0,49497.0,52.52
2019-06-01 15:30:00,DE,Solar,27203.0,49497.0,54.96
2019-06-01 16:30:00,DE,Solar,27695.0,49497.0,55.95
2019-06-01 17:30:00,DE,Solar,27046.0,49497.0,54.64
2019-06-01 18:30:00,DE,Solar,24588.0,49497.0,49.68
2019-06-01 19:30:00,DE,Solar,20651.0,49497.0,41.72
2019-06-01 20:30:00,DE,Solar,15215.0,49497.0,30.74
2019-06-01 21:30:00,DE,Solar,9227.0,49497.0,18.64
2019-06-01 22:30:00,DE,Solar,3987.0,49497.0,8.06
2019-06-01 23:30:00,DE,Solar,1032.0,49497.0,2.08
2019-06-02 00:30:00,DE,Solar,43.0,49497.0,0.09
2019-06-02 01:30:00,DE,Solar,0.0,49497.0,0.0
2019-06-02 02:30:00,DE,Solar,0.0,49497.0,0.0
2019-06-02 03:30:00,DE,Solar,0.0,49497.0,0.0
2019-06-02 04:30:00,DE,Solar,0.0,49497.0,0.0
2019-06-02 05:30:00,DE,Solar,0.0,49497.0,0.0
2019-06-02 06:30:00,DE,Solar,0.0,49497.0,0.0
2019-06-02 07:30:00,DE,Solar,2.0,49497.0,0.0
2019-06-02 08:30:00,DE,Solar,273.0,49497.0,0.55
2019-06-02 09:30:00,DE,Solar,2195.0,49497.0,4.43
2019-06-02 10:30:00,DE,Solar,6669.0,49497.0,13.47
2019-06-02 11:30:00,DE,Solar,12946.0,49497.0,26.16
2019-06-02 12:30:00,DE,Solar,19252.0,49497.0,38.9
2019-06-02 13:30:00,DE,Solar,24097.0,49497.0,48.68
2019-06-02 14:30:00,DE,Solar,27366.0,49497.0,55.29
2019-06-02 15:30:00,DE,Solar,29055.0,49497.0,58.7
2019-06-02 16:30:00,DE,Solar,29198.0,49497.0,58.99
2019-06-02 17:30:00,DE,Solar,27965.0,49497.0,56.5
2019-06-02 18:30:00,DE,Solar,25281.0,49497.0,51.08
2019-06-02 19:30:00,DE,Solar,21165.0,49497.0,42.76
2019-06-02 20:30:00,DE,Solar,15611.0,49497.0,31.54
2019-06-02 21:30:00,DE,Solar,9291.0,49497.0,18.77
2019-06-02 22:30:00,DE,Solar,3969.0,49497.0,8.02
2019-06-02 23:30:00,DE,Solar,1060.0,49497.0,2.14
2019-06-03 00:30:00,DE,Solar,51.0,49497.0,0.1
2019-06-03 01:30:00,DE,Solar,0.0,49497.0,0.0
2019-06-03 02:30:00,DE,Solar,0.0,49497.0,0.0
2019-06-03 03:30:00,DE,Solar,0.0,49501.0,0.0
2019-06-03 04:30:00,DE,Solar,0.0,49501.0,0.0
2019-06-03 05:30:00,DE,Solar,0.0,49501.0,0.0
2019-06-03 06:30:00,DE,Solar,0.0,49501.0,0.0
2019-06-03 07:30:00,DE,Solar,3.0,49501.0,0.01
2019-06-03 08:30:00,DE,Solar,287.0,49501.0,0.58
2019-06-03 09:30:00,DE,Solar,2084.0,49501.0,4.21
2019-06-03 10:30:00,DE,Solar,6199.0,49501.0,12.52
2019-06-03 11:30:00,DE,Solar,11707.0,49501.0,23.65
2019-06-03 12:30:00,DE,Solar,17468.0,49501.0,35.29
2019-06-03 13:30:00,DE,Solar,22394.0,49501.0,45.24
2019-06-03 14:30:00,DE,Solar,25024.0,49501.0,50.55
2019-06-03 15:30:00,DE,Solar,25832.0,49501.0,52.18
2019-06-03 16:30:00,DE,Solar,25351.0,49501.0,51.21
2019-06-03 17:30:00,DE,Solar,23177.0,49501.0,46.82
2019-06-03 18:30:00,DE,Solar,19155.0,49501.0,38.7
2019-06-03 19:30:00,DE,Solar,14342.0,49501.0,28.97
2019-06-03 20:30:00,DE,Solar,9590.0,49501.0,19.37
2019-06-03 21:30:00,DE,Solar,5409.0,49501.0,10.93
2019-06-03 22:30:00,DE,Solar,2449.0,49501.0,4.95
2019-06-03 23:30:00,DE,Solar,690.0,49501.0,1.39
2019-06-04 00:30:00,DE,Solar,43.0,49501.0,0.09
2019-06-04 01:30:00,DE,Solar,0.0,49501.0,0.0
2019-06-04 02:30:00,DE,Solar,0.0,49501.0,0.0
2019-06-04 03:30:00,DE,Solar,0.0,49506.0,0.0
2019-06-04 04:30:00,DE,Solar,0.0,49506.0,0.0
2019-06-04 05:30:00,DE,Solar,0.0,49506.0,0.0
2019-06-04 06:30:00,DE,Solar,0.0,49506.0,0.0
2019-06-04 07:30:00,DE,Solar,3.0,49506.0,0.01
2019-06-04 08:30:00,DE,Solar,267.0,49506.0,0.54
2019-06-04 09:30:00,DE,Solar,2007.0,49506.0,4.05
2019-06-04 10:30:00,DE,Solar,5772.0,49506.0,11.66
2019-06-04 11:30:00,DE,Solar,11252.0,49506.0,22.73
2019-06-04 12:30:00,DE,Solar,17078.0,49506.0,34.5
2019-06-04 13:30:00,DE,Solar,21922.0,49506.0,44.28
2019-06-04 14:30:00,DE,Solar,25426.0,49506.0,51.36
2019-06-04 15:30:00,DE,Solar,27253.0,49506.0,55.05
2019-06-04 16:30:00,DE,Solar,27313.0,49506.0,55.17
2019-06-04 17:30:00,DE,Solar,26079.0,49506.0,52.68
2019-06-04 18:30:00,DE,Solar,23613.0,49506.0,47.7
2019-06-04 19:30:00,DE,Solar,19767.0,49506.0,39.93
2019-06-04 20:30:00,DE,Solar,14484.0,49506.0,29.26
2019-06-04 21:30:00,DE,Solar,8662.0,49506.0,17.5
2019-06-04 22:30:00,DE,Solar,3824.0,49506.0,7.72
2019-06-04 23:30:00,DE,Solar,1082.0,49506.0,2.19
2019-06-05 00:30:00,DE,Solar,47.0,49506.0,0.09
